"x","y","color","pen down?"
"0","268","115","true"
"355.04","90","115","true"
"710.08","47","115","true"
"1065.1200000000001","33","115","true"
"1420.16","16","115","true"
"1775.2","14","115","true"
"2130.2400000000002","4","115","true"
"2485.28","5","115","true"
"2840.32","7","115","true"
"3195.36","2","115","true"
"3550.4","2","115","true"
"3905.44","3","115","true"
"5680.64","1","115","true"
"6745.76","1","115","true"
"9941.12","1","115","true"
"11361.28","1","115","true"
"14911.68","1","115","true"
"17752","1","115","true"
"20592.32","1","115","true"
"27693.120000000003","1","115","true"
"35148.96","1","115","true"
