"x","y","color","pen down?"
"0.01","8","15","true"
"0.02","32","15","true"
"0.03","51","15","true"
"0.04","46","15","true"
"0.05","50","15","true"
"0.06","54","15","true"
"0.07","41","15","true"
"0.08","30","15","true"
"0.09","34","15","true"
"0.1","22","15","true"
"0.11","27","15","true"
"0.12","9","15","true"
"0.13","16","15","true"
"0.14","12","15","true"
"0.15","15","15","true"
"0.16","7","15","true"
"0.17","11","15","true"
"0.18","5","15","true"
"0.19","4","15","true"
"0.2","3","15","true"
"0.21","6","15","true"
"0.22","1","15","true"
"0.23","5","15","true"
"0.24","2","15","true"
"0.26","3","15","true"
"0.3","1","15","true"
"0.31","1","15","true"
"0.43","1","15","true"
"0.55","1","15","true"
"0.72","1","15","true"
